,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,matay,28.419,30.7792,307.69,16,0,1.25,EG,1627929537
130,homer,59.6425,-151.5483,293.75,87,75,3.6,US,1627929315
131,skjervoy,70.0311,20.9714,285.15,80,98,6.98,NO,1627929424
132,jalu,29.0331,21.5482,308.68,11,0,4.73,LY,1627929538
133,bluff,-46.6,168.3333,279.71,69,100,6.02,NZ,1627929538
134,cabedelo,-6.9811,-34.8339,297.52,80,20,8.32,BR,1627929481
135,giovinazzo,41.1864,16.6674,305.28,71,0,1.34,IT,1627929539
136,tidore,,,,,,,,
137,parabel,58.6978,81.4825,285.79,92,100,0.54,RU,1627929539
138,mongo,12.1844,18.693,298.87,79,34,1.25,TD,1627929539
139,yarmouth,41.7057,-70.2286,300.99,65,40,3.58,US,1627929540
140,tonantins,-2.8731,-67.8022,306.22,35,28,2.02,BR,1627929540
141,aksarka,66.5606,67.7975,287.1,74,100,1.73,RU,1627929540
142,calvinia,-31.4707,19.776,288.77,21,0,3.05,ZA,1627929540
143,amderma,,,,,,,,
144,puerto ayora,-0.7393,-90.3518,300.13,81,73,5.38,EC,1627929541
145,georgetown,5.4112,100.3354,301.42,86,20,0.45,MY,1627929273
146,esna,25.2934,32.554,309.16,11,1,4.37,EG,1627929541
147,baijiantan,45.6333,85.1833,300.65,15,0,0.87,CN,1627929542
148,berlevag,70.8578,29.0864,285.15,80,6,2.71,NO,1627929512
149,el porvenir,13.7617,-87.3458,305.65,34,100,3.49,HN,1627929542
150,dobryanka,58.4619,56.4165,292.07,95,19,1.51,RU,1627929543
151,norman wells,65.282,-126.8329,296.17,53,1,1.54,CA,1627929543
152,strezhevoy,60.7333,77.5889,288.14,92,100,0.38,RU,1627929543
153,dingle,10.9995,122.6711,298.99,85,100,4.36,PH,1627929544
154,pasighat,28.0667,95.3333,298.41,93,100,1.57,IN,1627929544
155,bolungarvik,,,,,,,,
156,kumluca,36.3703,30.2869,305.63,29,0,4.29,TR,1627929544
157,kandrian,-6.2167,149.55,298.28,87,66,2.68,PG,1627929529
158,irbeyskoye,55.6428,95.4522,286.82,88,75,1.53,RU,1627929545
159,sibolga,1.7427,98.7792,297.98,83,99,1.21,ID,1627929539
160,gat,31.61,34.7642,304.48,50,0,3.34,IL,1627929545
161,namibe,-15.1961,12.1522,293.96,86,73,2.97,AO,1627929545
162,port blair,11.6667,92.75,300.81,83,100,9.27,IN,1627929546
163,pangoa,-12.1167,-73,301.61,40,22,1.98,PE,1627929546
164,grindavik,63.8424,-22.4338,285.68,76,75,2.57,IS,1627929521
165,lavrentiya,65.5833,-171,279.77,99,100,3.32,RU,1627929520
166,san patricio,28.017,-97.5169,309.27,33,9,0.28,US,1627929547
