,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
389,matara,5.9485,80.5353,298.66,88,100,5.52,LK,1627929603
390,suntar,62.1444,117.6319,286.03,95,86,0.77,RU,1627929603
391,nevelsk,46.6733,141.8633,288.39,91,100,3.52,RU,1627929604
392,qobustan,40.0824,49.412,296.21,38,100,1.71,AZ,1627929605
393,mehamn,71.0357,27.8492,285.12,62,20,1.54,NO,1627929605
394,bambous virieux,-20.3428,57.7575,291.6,88,20,3.6,MU,1627929605
395,phon thong,16.3016,103.9768,298.16,89,100,5.79,TH,1627929606
396,ust-maya,60.4167,134.5333,287.19,70,100,1.88,RU,1627929606
397,phan rang,,,,,,,,
398,calahorra,42.3051,-1.9652,302.1,37,50,3.52,ES,1627929607
399,sechura,-5.5569,-80.8222,298.61,56,8,6.23,PE,1627929607
400,progress,40.2851,-76.8314,299.32,54,40,0.89,US,1627929607
401,griffith,41.5284,-87.4237,298.3,51,75,0.45,US,1627929608
402,lazaro cardenas,17.9583,-102.2,304.33,65,33,2.84,MX,1627929608
403,ust-omchug,61.15,149.6333,275.04,81,10,2.22,RU,1627929350
404,saurimo,-9.6608,20.3916,293.04,29,32,1.44,AO,1627929609
405,suozhen,36.9539,118.1047,294.66,90,3,1.94,CN,1627929609
406,aklavik,68.2191,-135.0107,291.61,82,75,1.03,CA,1627929608
407,yar-sale,66.8333,70.8333,286.38,94,99,2.95,RU,1627929533
408,marcona,,,,,,,,
409,cap malheureux,-19.9842,57.6142,291.74,67,0,1.34,MU,1627929610
410,hlubocky,49.6178,17.3944,291.61,84,2,2.09,CZ,1627929610
411,port macquarie,-31.4333,152.9167,289.13,91,100,7.03,AU,1627929610
412,mayo,38.8876,-76.5119,301.54,61,75,0.89,US,1627929571
413,sao filipe,14.8961,-24.4956,297.97,81,54,2.15,CV,1627929611
414,gazni,,,,,,,,
415,koryazhma,61.3143,47.1691,289.55,84,100,1.85,RU,1627929611
416,vuktyl,63.8567,57.3094,287.47,95,35,2.33,RU,1627929611
417,fortuna,40.5982,-124.1573,297.27,80,90,0.89,US,1627929593
418,belleville,44.1788,-77.3705,297.04,43,20,3.09,CA,1627929470
419,masindi,1.6744,31.715,294.13,61,83,0.98,UG,1627929612
420,portland,45.5234,-122.6762,302.57,59,40,4.63,US,1627929220
421,kui buri,12.0828,99.8543,302.58,76,100,4.77,TH,1627929612
422,nynashamn,58.9034,17.9479,287.27,88,67,6.66,SE,1627929613
423,salto,-31.3833,-57.9667,290.24,45,0,2.57,UY,1627929365
424,plettenberg bay,-34.0527,23.3716,286.63,88,7,2.21,ZA,1627929613
425,panama city,8.9936,-79.5197,303.39,76,40,3.09,PA,1627929189
426,roccastrada,43.0099,11.1665,296.94,55,98,1.4,IT,1627929613
427,galanta,48.19,17.7275,295.2,59,8,2.51,SK,1627929614
428,cayenne,4.9333,-52.3333,302.64,74,75,1.34,GF,1627929614
429,bokspits,,,,,,,,
430,sokna,60.24,9.9235,289.55,69,35,0.2,NO,1627929614
431,yuzhnyy,53.2542,83.6936,291.36,68,40,1,RU,1627929615
432,ipixuna,-1.7625,-48.8043,305.12,38,98,0.91,BR,1627929615
433,inirida,3.8653,-67.9239,296.81,93,99,0.48,CO,1627929615
434,kaohsiung,22.6163,120.3133,299.12,97,90,0.45,TW,1627929616
435,lasa,46.6166,10.7002,291.1,89,60,1.39,IT,1627929614
436,severo-kurilsk,50.6789,156.125,283.21,78,88,9.66,RU,1627929616
437,saint-philippe,-21.3585,55.7679,292.92,71,36,1,RE,1627929616
438,hualmay,-11.0964,-77.6139,293.29,70,12,4.71,PE,1627929588
439,seoul,37.5683,126.9778,297.88,97,40,1.03,KR,1627929028
440,rotenburg,53.1167,9.4,290.48,89,92,2.7,DE,1627929617
441,marang,5.2056,103.2059,298.11,83,100,1.32,MY,1627929617
442,heihe,50.2441,127.4902,288.47,95,100,2.25,CN,1627929618
443,eenhana,-17.4667,16.3333,295.01,28,0,2.66,NA,1627929618
444,ola,59.5833,151.2833,280.9,64,0,4.57,RU,1627929618
445,cordoba,-31.4135,-64.1811,296.72,22,0,2.68,AR,1627929581
446,ada,43.4166,-116.1262,302.67,56,1,3.13,US,1627929619
447,saraland,30.8207,-88.0706,307.64,61,70,1.62,US,1627929619
448,the valley,18.217,-63.0578,302.65,74,40,4.63,AI,1627929557
449,palabuhanratu,,,,,,,,
450,puerto narino,-3.7703,-70.3831,304.12,34,11,2.31,CO,1627929619
451,broome,42.2506,-75.833,297.6,55,40,1.34,US,1627929599
452,teshie,5.5836,-0.1072,299.46,83,20,6.69,GH,1627929620
453,ponca city,36.707,-97.0856,304.05,47,20,5.14,US,1627929508
454,dustlik,40.5247,68.0358,299.86,29,4,2.75,UZ,1627929620
455,warrington,53.3925,-2.5802,290.57,69,0,1.79,GB,1627929621
456,takoradi,4.8845,-1.7554,298.72,79,37,4.54,GH,1627929621
457,sobolevo,54.4299,31.8996,290.41,81,18,4.9,RU,1627929621
458,marmaris,36.855,28.2742,307.14,47,0,2.58,TR,1627929621
459,bilibino,68.0546,166.4372,274.62,81,100,5.7,RU,1627929622
460,fort nelson,58.8053,-122.7002,297.92,61,20,2.06,CA,1627929622
461,tiksi,71.6872,128.8694,282.23,68,81,1.49,RU,1627929622
462,esperance,-33.8667,121.9,282.06,82,100,4.38,AU,1627929623
463,kompaniyivka,48.2511,32.208,295.26,74,100,2.13,UA,1627929623
464,lianzhou,24.7811,112.3825,299.21,80,16,0.48,CN,1627929623
465,tommot,58.9564,126.2925,284.31,94,12,1.6,RU,1627929624
466,xuddur,4.1213,43.8894,298.38,54,99,8.48,SO,1627929624
467,bahir dar,11.5936,37.3908,289.34,95,100,2.67,ET,1627929624
468,longyearbyen,78.2186,15.6401,280.06,81,75,6.69,SJ,1627929395
469,kemijarvi,66.7131,27.4306,283.69,65,94,2.18,FI,1627929625
470,gurgan,,,,,,,,
471,preobrazheniye,42.9019,133.9064,293.27,93,86,2.71,RU,1627929625
472,monrovia,6.3005,-10.7969,300.02,72,32,3.07,LR,1627929603
473,novoselitskoye,44.7508,43.4369,297.97,60,10,4.21,RU,1627929625
474,urumqi,43.801,87.6005,295.68,29,0,4,CN,1627929509
475,muisne,0.6,-80.0333,299.21,76,100,5.02,EC,1627929537
476,smolensk,55,33,290.77,78,12,5.06,RU,1627929626
477,beruwala,6.4788,79.9828,299.1,87,100,4.99,LK,1627929626
478,lompoc,34.6391,-120.4579,304.65,68,1,6.17,US,1627929627
479,toucheng,24.8592,121.8233,301.01,92,84,1.99,TW,1627929627
480,erenhot,43.6475,111.9767,296.14,38,100,3.84,CN,1627929627
481,hegang,47.4,130.3667,293.86,85,55,1.48,CN,1627929550
482,aguililla,18.7333,-102.7333,300.64,61,78,1.75,MX,1627929628
483,acapulco,16.8634,-99.8901,304.05,74,1,3.09,MX,1627929587
484,minas novas,-17.2186,-42.5903,298.37,29,51,1.85,BR,1627929628
485,nome,64.5011,-165.4064,287.13,94,90,6.17,US,1627929628
486,chengde,40.9725,117.9361,290.65,95,7,0.61,CN,1627929629
487,manta,-0.95,-80.7333,299.03,69,40,5.14,EC,1627929570
488,rota,36.6224,-6.3586,302.36,83,20,5.66,ES,1627929629
489,kavaratti,10.5669,72.642,301.07,75,100,6.26,IN,1627929629
490,joshimath,30.5667,79.5667,295.07,85,100,0.49,IN,1627929630
491,quarteira,37.0695,-8.1006,296.02,78,20,5.66,PT,1627929630
492,ornskoldsvik,63.2909,18.7153,289.05,67,75,2.57,SE,1627929630
493,guarapari,-20.6667,-40.4975,295.09,65,34,4.73,BR,1627929630
494,ahuimanu,21.4447,-157.8378,299.99,76,90,8.23,US,1627929487
495,sawakin,19.1059,37.3321,308.88,44,89,9.17,SD,1627929631
496,touros,-5.1989,-35.4608,300.65,68,73,8.28,BR,1627929631
497,hirara,24.8,125.2833,300.59,81,99,4.44,JP,1627929632
498,gualaquiza,-3.4,-78.55,293.17,80,87,0.55,EC,1627929632
499,portree,57.4129,-6.1942,288.07,78,16,0.52,GB,1627929632
500,ugoofaaru,5.6667,73,301.37,73,100,2.91,MV,1627929566
501,la baule-escoublac,47.2922,-2.364,293.16,70,75,5.14,FR,1627929633
502,dao,11.3937,122.6856,297.89,88,100,2.21,PH,1627929633
503,regen,48.9667,13.1333,290.63,62,18,0.89,DE,1627929633
504,katha,,,,,,,,
505,morehead,37.2711,-87.1764,300.85,48,1,0.45,US,1627929634
506,healdsburg,38.6105,-122.8692,306.43,59,20,0,US,1627929634
507,eskil,38.4017,33.4131,298.91,29,0,4.27,TR,1627929634
508,orocue,4.7912,-71.3354,298.7,71,93,5.83,CO,1627929635
509,taranagar,28.6709,75.0351,305.26,62,89,3.37,IN,1627929635
510,samarai,-10.6167,150.6667,298.92,79,62,4.44,PG,1627929635
511,ostrovnoy,68.0531,39.5131,287.59,89,100,4.15,RU,1627929561
512,estelle,29.8458,-90.1067,303.15,94,90,2.57,US,1627929636
513,puerto ayacucho,5.6639,-67.6236,295.12,96,100,2.56,VE,1627929636
514,eureka,40.8021,-124.1637,297.41,73,67,2.98,US,1627929511
515,soyo,-6.1349,12.3689,296.09,83,24,3.66,AO,1627929636
516,domoni,-12.2569,44.5319,296.78,79,0,3.34,KM,1627929637
517,kamenskoye,,,,,,,,
518,asyut,27.181,31.1837,309.25,14,0,2.67,EG,1627929637
519,vardo,70.3705,31.1107,282.26,81,0,2.06,NO,1627929637
520,beringovskiy,63.05,179.3167,279.76,94,100,10.87,RU,1627929638
521,bonga,7.2833,36.2333,288.55,98,100,0.58,ET,1627929638
522,taksimo,56.3444,114.8794,285.4,97,100,0.53,RU,1627929638
523,dovolnoye,54.4958,79.6671,290.36,90,100,2.44,RU,1627929639
524,lufilufi,-13.8745,-171.5986,296.03,70,99,5.73,WS,1627929639
525,north bend,43.4065,-124.2243,291.4,94,90,4.63,US,1627929639
526,wanning,18.8003,110.3967,300.12,86,63,4.5,CN,1627929610
527,ligaya,12.6599,120.8923,300.1,88,100,4.58,PH,1627929640
528,avera,33.194,-82.5271,307.54,36,7,0.17,US,1627929640
529,hue,16.4667,107.6,305.21,51,40,2.06,VN,1627929640
530,tindivanam,12.25,79.65,303.9,47,96,3.55,IN,1627929641
531,sumbawa,,,,,,,,
532,roebourne,-20.7833,117.1333,289.41,24,5,7.54,AU,1627929641
533,jawhar,2.7809,45.5005,296.93,81,33,6.67,SO,1627929642
534,paoua,7.2427,16.4406,294.49,93,100,0.87,CF,1627929642
535,coffeyville,37.0373,-95.6164,302.4,54,40,4.12,US,1627929642
536,attawapiskat,,,,,,,,
537,zheleznodorozhnyy,55.7503,38.0042,301.38,66,45,4.48,RU,1627929618
538,srandakan,-7.9386,110.2506,297.48,89,96,4.78,ID,1627929643
539,kapoeta,4.7717,33.5903,296.37,64,34,2.21,SS,1627929643
540,bowen,-20.0167,148.2333,284.27,83,17,2.89,AU,1627929643
541,port hedland,-20.3167,118.5667,285.18,30,5,4.12,AU,1627929644
542,boyolangu,-8.1181,111.8935,296.52,94,86,3.31,ID,1627929644
543,conceicao do araguaia,-8.2578,-49.2647,307.22,29,0,3.1,BR,1627929644
544,chifeng,42.2683,118.9636,291.53,90,100,0.83,CN,1627929644
545,cockburn town,21.4612,-71.1419,300.93,75,100,7.09,TC,1627929645
546,zelenoborskiy,66.845,32.3622,286.97,90,85,3.99,RU,1627929645
547,kendari,-3.945,122.4989,296.11,92,5,1.35,ID,1627929645
548,saint-pierre,-21.3393,55.4781,292.97,65,0,3.6,RE,1627929646
549,xuchang,34.0167,113.8167,298.64,86,0,3.03,CN,1627929354
550,lolua,,,,,,,,
551,camacha,33.0833,-16.3333,294.83,78,40,6.17,PT,1627929646
552,juifang,,,,,,,,
553,ajaccio,42,8.9167,296.42,53,0,3.09,FR,1627929647
554,shache,38.4167,77.2406,291.28,55,100,2.24,CN,1627929540
555,atambua,-9.1061,124.8925,294.31,88,52,2.56,ID,1627929647
556,along,28.1667,94.7667,296.69,98,100,0.79,IN,1627929648
557,pontianak,-0.0333,109.3333,298.14,88,75,1.03,ID,1627929648
558,taquarana,-9.645,-36.4972,296.11,80,41,5.51,BR,1627929648
559,eyl,7.9803,49.8164,299.26,71,75,11.5,SO,1627929649
560,praia da vitoria,38.7333,-27.0667,297.29,83,75,3.55,PT,1627929649
561,yakovlevka,44.425,133.4772,293.02,97,70,1.07,RU,1627929649
562,bud,39.447,-86.1758,299.21,56,0,2.47,US,1627929650
563,egvekinot,66.3167,-179.1667,273.83,88,100,8.68,RU,1627929650
564,lata,40.1629,-8.3327,299.28,60,5,2.46,PT,1627929502
565,brandenburg,52.4167,12.55,293.15,65,10,2.65,DE,1627929553
566,gold coast,-28,153.4333,291.62,92,75,2.06,AU,1627929650
567,laza,46.65,27.5833,297.92,90,70,1.14,RO,1627929651
568,bonavista,48.6499,-53.1147,298.15,60,99,6.26,CA,1627929571
569,buckeye,33.3703,-112.5838,313.94,29,0,0.26,US,1627929214
570,arlit,18.7369,7.3853,300.72,59,99,14.06,NE,1627929543
571,cvikov,50.7767,14.633,290.6,86,10,0.85,CZ,1627929651
572,peniche,39.3558,-9.3811,295.86,81,1,8.02,PT,1627929652
573,akropong,5.9746,-0.0854,296.68,73,77,2.64,GH,1627929652
574,pedernales,18.0384,-71.744,304.62,58,100,2.82,DO,1627929652
575,voznesenye,61.0106,35.4781,290.93,79,100,4.41,RU,1627929653
576,hearst,49.6835,-83.6665,299.29,34,25,5.29,CA,1627929625
577,fairbanks,64.8378,-147.7164,297.55,67,1,0,US,1627929423
578,flinders,-34.5833,150.8552,287.8,84,100,0.45,AU,1627929604
579,klaksvik,62.2266,-6.589,283.66,83,100,4.87,FO,1627929653
580,zhaotong,27.3167,103.7167,288.74,79,0,0.89,CN,1627929653
581,seydi,39.4816,62.9137,303.53,11,0,5.51,TM,1627929654
582,pisco,-13.7,-76.2167,293.16,82,75,4.63,PE,1627929654
583,salinopolis,-0.6136,-47.3561,299.94,75,94,3.89,BR,1627929567
584,tondano,1.3038,124.9112,293.2,92,100,0.97,ID,1627929655
585,port antonio,18.18,-76.4612,304.77,65,52,5.15,JM,1627929655
586,bambanglipuro,-7.95,110.2833,297.36,89,93,4.86,ID,1627929529
587,kazalinsk,,,,,,,,
588,keti bandar,24.1447,67.4497,300.6,83,100,9.62,PK,1627929656
589,mumford,5.2618,-0.759,297.94,89,100,4.62,GH,1627929656
590,marsa matruh,31.3525,27.2453,301.26,78,0,4.12,EG,1627929656
591,lexington,37.9887,-84.4777,300.9,45,40,0.45,US,1627929616
592,anloga,5.7947,0.8973,299.27,85,100,4.07,GH,1627929657
593,nguruka,-5.1092,31.0419,294.95,37,8,1.23,TZ,1627929657
594,margate,51.3813,1.3862,290.35,70,100,0.89,GB,1627929589
595,uvat,59.1433,68.8953,287.57,90,53,2.62,RU,1627929658
596,the pas,53.8251,-101.2541,301.16,44,90,2.9,CA,1627929658
597,clovis,36.8252,-119.7029,313.22,37,1,0.45,US,1627929658
598,grand-santi,4.25,-54.3833,303.67,61,67,0.33,GF,1627929659
599,north battleford,52.7834,-108.2847,303.2,26,1,0,CA,1627929659
600,pochutla,15.7432,-96.4661,306.94,53,59,3.03,MX,1627929660
601,sevierville,35.8681,-83.5618,303.33,45,1,2.57,US,1627929660
602,alanya,36.5438,31.9998,302.22,39,0,2.75,TR,1627929660
603,ibra,22.6906,58.5334,305.31,43,52,3.86,OM,1627929660
604,barbar,,,,,,,,
605,shelburne,44.0787,-80.2041,296.55,30,35,4.2,CA,1627929648
606,esil,51.9556,66.4042,295.56,47,33,3.08,KZ,1627929661
607,phalaborwa,-23.943,31.1411,291.75,80,0,6.95,ZA,1627929662
608,corinto,37.9407,22.9573,308.14,41,4,1.85,GR,1627929662
609,cantagallo,7.376,-73.9196,307.93,44,32,0.95,CO,1627929662
610,santa marta,11.2408,-74.199,303.7,74,100,1.34,CO,1627929663
611,norheimsund,60.3709,6.1456,289.34,77,45,2.25,NO,1627929663
612,felanitx,39.4696,3.1483,300.44,62,100,4.24,ES,1627929664
613,rockport,28.0206,-97.0544,309.29,67,75,1.34,US,1627929462
614,khandyga,62.6667,135.6,287.01,71,95,1.16,RU,1627929664
615,axim,4.8699,-2.2405,298.31,85,42,4.09,GH,1627929664
616,kudahuvadhoo,2.6708,72.8944,301.01,72,100,2.66,MV,1627929557
617,vaitupu,,,,,,,,
618,vallenar,-28.5708,-70.7581,299.24,23,0,2.65,CL,1627929530
619,palaiokhora,,,,,,,,
620,saleaula,,,,,,,,
621,talnakh,69.4865,88.3972,291.96,53,100,1.89,RU,1627929666
622,ngukurr,,,,,,,,
623,carballo,43.213,-8.691,295.42,81,49,2.94,ES,1627929666
624,champerico,14.3,-91.9167,308,71,97,3.13,GT,1627929666
625,andenes,69.3143,16.1194,283.75,81,75,5.66,NO,1627929667
626,guisa,20.255,-76.5386,307.32,51,100,2.51,CU,1627929667
627,husavik,66.0449,-17.3389,287.1,80,69,2.07,IS,1627929444
628,cedar city,37.6775,-113.0619,301.7,46,1,1.54,US,1627929451
629,voh,-20.9667,164.7,287.29,80,2,1.64,NC,1627929667
630,ixtapa,20.7,-105.2,303.83,62,75,2.06,MX,1627929668
631,pilar,-9.5972,-35.9567,298.11,85,28,4.81,BR,1627929668
632,hobyo,5.3505,48.5268,298.44,79,30,11.35,SO,1627929476
633,jacareacanga,-6.2222,-57.7528,309.32,41,0,2.57,BR,1627929668
634,dwarka,22.2394,68.9678,300.6,83,100,11.31,IN,1627929557
635,cavarzere,45.1356,12.0817,298.18,71,34,2.32,IT,1627929669
636,darnah,32.767,22.6367,302.62,56,0,8.01,LY,1627929669
637,gaimersheim,48.807,11.368,291.63,75,40,1.03,DE,1627929669
638,sao joao da barra,-21.6403,-41.0511,297.2,70,0,5.5,BR,1627929670
